"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "JSON with Comments", "XML", "Markdown", "JavaScript", "MS SQL", "CSS", "HTML", "comment", "blank", "total"
"/Users/ndriyo/Documents/Code/primepm/.eslintrc.json", "JSON with Comments", 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 1, 9
"/Users/ndriyo/Documents/Code/primepm/README.md", "Markdown", 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 6, 16
"/Users/ndriyo/Documents/Code/primepm/app/api/criteria/[criterionId]/route.ts", "TypeScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 98
"/Users/ndriyo/Documents/Code/primepm/app/api/criteria/versions/[versionId]/comparisons/route.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 8, 53
"/Users/ndriyo/Documents/Code/primepm/app/api/criteria/versions/[versionId]/criteria/route.ts", "TypeScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 73
"/Users/ndriyo/Documents/Code/primepm/app/api/criteria/versions/[versionId]/route.ts", "TypeScript", 93, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 17, 116
"/Users/ndriyo/Documents/Code/primepm/app/api/criteria/versions/route.ts", "TypeScript", 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9, 54
"/Users/ndriyo/Documents/Code/primepm/app/api/projects/[projectId]/route.ts", "TypeScript", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 27, 171
"/Users/ndriyo/Documents/Code/primepm/app/api/projects/[projectId]/scores/route.ts", "TypeScript", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12, 83
"/Users/ndriyo/Documents/Code/primepm/app/api/projects/route.ts", "TypeScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 17, 93
"/Users/ndriyo/Documents/Code/primepm/app/_components/dashboard/Dashboard.tsx", "TypeScript JSX", 0, 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"/Users/ndriyo/Documents/Code/primepm/app/_components/dev/DevAuthSwitcher.tsx", "TypeScript JSX", 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 87
"/Users/ndriyo/Documents/Code/primepm/app/_components/project-details/ProjectDetails.tsx", "TypeScript JSX", 0, 274, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28, 309
"/Users/ndriyo/Documents/Code/primepm/app/_components/project-details/ProjectInformation.tsx", "TypeScript JSX", 0, 234, 0, 0, 0, 0, 0, 0, 0, 0, 7, 24, 265
"/Users/ndriyo/Documents/Code/primepm/app/_components/project-entry/ProjectEntryForm.tsx", "TypeScript JSX", 0, 269, 0, 0, 0, 0, 0, 0, 0, 0, 22, 41, 332
